適用對象類型,適用對象SKU,適用對象名稱,基準單位,換算單位,換算率,換算率說明,來源依據,狀態,生效日,失效日,停用原因,來源建立方式,核定狀態,核定人,核定日期,備註
原料,RM0014,鈕扣白巧克力,包,g,1000,1 包 = 1000 g,食材清單.xlsx / *鈕扣白巧克力1kg/包 | 抹茶豆塔-分裝640g(1倍)/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0014,鈕扣白巧克力,袋,g,640,1 袋 = 640 g,食材清單.xlsx / *鈕扣白巧克力1kg/包 | 抹茶豆塔-分裝640g(1倍)/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,由使用者補充正式分裝單位為袋
原料,RM0015,水滴巧克力,包,g,1000,1 包 = 1000 g,食材清單.xlsx / *水滴巧克力1kg/包 | 巧克力瓦片-分裝400g(10倍)/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0015,水滴巧克力,袋,g,400,1 袋 = 400 g,食材清單.xlsx / *水滴巧克力1kg/包 | 巧克力瓦片-分裝400g(10倍)/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,由使用者補充正式分裝單位為袋
原料,RM0016,一般奶油,箱,g,25000,1 箱 = 25000 g,食材清單.xlsx / 一般奶油25kg/箱,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0017,發酵奶油,箱,g,25000,1 箱 = 25000 g,食材清單.xlsx / 發酵奶油25kg/箱,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0018,鮮奶油,箱,罐,12,1 箱 = 12 罐,食材清單.xlsx / 鮮奶油1Lx12罐/箱,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0018,鮮奶油,罐,ml,1000,1 罐 = 1000 ml,食材清單.xlsx / 鮮奶油1Lx12罐/箱,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0019,總統鮮奶油,箱,罐,6,1 箱 = 6 罐,食材清單.xlsx / 總統鮮奶油1Lx6罐/箱,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0019,總統鮮奶油,罐,ml,1000,1 罐 = 1000 ml,食材清單.xlsx / 總統鮮奶油1Lx6罐/箱,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0020,冷藏蛋白液,罐,ml,960,1 罐 = 960 ml,食材清單.xlsx / 冰箱-蛋白液960ml/罐,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0021,雞蛋,箱,g,12000,1 箱 = 12000 g,食材清單.xlsx / 雞蛋12kg/箱,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0022,椰棗,箱,g,10000,1 箱 = 10000 g,食材清單.xlsx / ▲椰棗10kg/箱,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0023,龍眼乾,盒,g,570,1 盒 = 570 g,食材清單.xlsx / *龍眼乾570g/盒,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0024,棗泥,包,g,2000,1 包 = 2000 g,食材清單.xlsx / 棗泥2kg/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0025,肉鬆,包,g,3000,1 包 = 3000 g,食材清單.xlsx / 肉鬆3kg/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0026,梅原糖漬檸檬皮,盒,g,1000,1 盒 = 1000 g,食材清單.xlsx / 梅原糖漬檸檬皮1kg/盒,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0027,細砂糖,大袋,包,10,1 大袋 = 10 包,"食材清單.xlsx / 細砂糖2kg/包,20kg/大袋",草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0027,細砂糖,包,g,2000,1 包 = 2000 g,"食材清單.xlsx / 細砂糖2kg/包,20kg/大袋",草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0027,細砂糖,大袋,g,20000,1 大袋 = 20000 g,"食材清單.xlsx / 細砂糖2kg/包,20kg/大袋",草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0028,海藻糖,箱,包,24,1 箱 = 24 包,"食材清單.xlsx / 海藻糖1kg/包,24kg/箱",草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0028,海藻糖,包,g,1000,1 包 = 1000 g,"食材清單.xlsx / 海藻糖1kg/包,24kg/箱",草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0028,海藻糖,箱,g,24000,1 箱 = 24000 g,"食材清單.xlsx / 海藻糖1kg/包,24kg/箱",草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0029,棉花糖,箱,包,5,1 箱 = 5 包,"食材清單.xlsx / 棉花糖1kg/包,5kg/箱",草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0029,棉花糖,包,g,1000,1 包 = 1000 g,"食材清單.xlsx / 棉花糖1kg/包,5kg/箱",草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0029,棉花糖,箱,g,5000,1 箱 = 5000 g,"食材清單.xlsx / 棉花糖1kg/包,5kg/箱",草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0030,龍眼蜜,罐,g,3000,1 罐 = 3000 g,食材清單.xlsx / 龍眼蜜3kg/罐,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0031,蔗糖,罐,g,3000,1 罐 = 3000 g,食材清單.xlsx / 蔗糖3kg/罐,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0032,轉化糖漿,罐,g,4000,1 罐 = 4000 g,食材清單.xlsx / 轉化糖漿4kg/罐,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0033,貳砂糖(黃砂糖),包,g,1000,1 包 = 1000 g,食材清單.xlsx / 貳砂糖(黃砂糖)1kg/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0034,黑糖,包,g,450,1 包 = 450 g,食材清單.xlsx / 黑糖450g/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0035,玫瑰鹽,包,g,1000,1 包 = 1000 g,食材清單.xlsx / 玫瑰鹽1kg/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0036,昭和麵粉,包,g,25000,1 包 = 25000 g,食材清單.xlsx / 昭和麵粉25kg/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0037,可可粉,包,g,1000,1 包 = 1000 g,食材清單.xlsx / *可可粉1kg/包 | 巧克力瓦片-分裝360g/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0037,可可粉,袋,g,360,1 袋 = 360 g,食材清單.xlsx / *可可粉1kg/包 | 巧克力瓦片-分裝360g/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,由使用者補充正式分裝單位為袋
原料,RM0038,伯爵紅茶葉,包,g,1000,1 包 = 1000 g,食材清單.xlsx / *伯爵紅茶葉1kg/包 | 紅茶瓦片-分裝120g/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0038,伯爵紅茶葉,袋,g,120,1 袋 = 120 g,食材清單.xlsx / *伯爵紅茶葉1kg/包 | 紅茶瓦片-分裝120g/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,由使用者補充正式分裝單位為袋
原料,RM0039,日本抹茶粉,包,g,1000,1 包 = 1000 g,食材清單.xlsx / 日本抹茶粉1kg/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0040,抹茶風味粉,包,g,1000,1 包 = 1000 g,食材清單.xlsx / 抹茶風味粉1kg/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0041,脫脂奶粉,包,g,2250,1 包 = 2250 g,食材清單.xlsx / 脫脂奶粉2.25kg/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0042,洋菜粉,包,g,600,1 包 = 600 g,食材清單.xlsx / 洋菜粉600g/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0043,海苔粉,包,g,200,1 包 = 200 g,食材清單.xlsx / 海苔粉200g/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0044,紅辣椒粉,包,g,1000,1 包 = 1000 g,食材清單.xlsx / 紅辣椒粉1kg/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0045,黑胡椒粉,包,g,1000,1 包 = 1000 g,食材清單.xlsx / 黑胡椒粉1kg/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0046,紅椒粉,包,g,1000,1 包 = 1000 g,食材清單.xlsx / 紅椒粉1kg/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0047,花椒粉,包,g,1000,1 包 = 1000 g,食材清單.xlsx / 花椒粉1kg/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0048,蒜粉,包,g,1000,1 包 = 1000 g,食材清單.xlsx / 蒜粉1kg/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0049,青花椒粒,包,g,500,1 包 = 500 g,食材清單.xlsx / 青花椒粒500g/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0050,紅花椒粒,包,g,500,1 包 = 500 g,食材清單.xlsx / 紅花椒粒500g/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0051,泡打粉,包,g,1500,1 包 = 1500 g,食材清單.xlsx / 泡打粉1.5kg/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0052,己二烯酸鉀N,包,g,1000,1 包 = 1000 g,食材清單.xlsx / 己二烯酸鉀N1kg/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0053,寶鮮151,包,g,1000,1 包 = 1000 g,食材清單.xlsx / 寶鮮151 1kg/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,實際品名為寶鮮151；1 包 = 1000 g
原料,RM0054,檸檬酸,包,g,450,1 包 = 450 g,食材清單.xlsx / 檸檬酸450g/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0055,85%水麥芽,罐,g,5000,1 罐 = 5000 g,"食材清單.xlsx / 85%水麥芽5kg/罐,20kg/箱",草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0055,85%水麥芽,箱,罐,4,1 箱 = 4 罐,"食材清單.xlsx / 85%水麥芽5kg/罐,20kg/箱",草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0055,85%水麥芽,箱,g,20000,1 箱 = 20000 g,"食材清單.xlsx / 85%水麥芽5kg/罐,20kg/箱",草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0056,小奇富餅乾,包,g,3000,1 包 = 3000 g,食材清單.xlsx / 小奇富餅乾3kg/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0057,三花奶水,箱,罐,48,1 箱 = 48 罐,食材清單.xlsx / 三花奶水48罐/箱,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0058,花椒油,罐,g,1800,1 罐 = 1800 g,食材清單.xlsx / 花椒油1.8kg/罐,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0061,香草精,罐,ml,113,1 罐 = 113 ml,食材清單.xlsx / 香草精113ml/瓶,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,使用者確認正式採購與庫存單位為罐
原料,RM0062,冷凍蛋白液,罐,ml,960,1 罐 = 960 ml,食材清單.xlsx / 冷凍-蛋白液960ml/罐,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,來源表未填完整/散單位，依名稱規格推定
原料,RM0063,鹹蛋黃,包,顆,20,1 包 = 20 顆,食材清單.xlsx / 鹹蛋黃20顆/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0064,德麥冷凍檸檬皮丁,盒,g,500,1 盒 = 500 g,食材清單.xlsx / 德麥冷凍檸檬皮丁500g/盒,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,由使用者補充每盒 500 g
原料,RM0065,黑糖醬,罐,g,1000,1 罐 = 1000 g,食材清單.xlsx / 黑糖醬1000g/罐,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0066,柑橘油,罐,g,500,1 罐 = 500 g,食材清單.xlsx / 柑橘油500g/罐,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0067,柑橘醬,罐,g,1000,1 罐 = 1000 g,食材清單.xlsx / 柑橘醬1000g/罐,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0068,檸檬香精,罐,g,500,1 罐 = 500 g,食材清單.xlsx / 檸檬香精500g/罐,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0069,檸檬醬,罐,g,1000,1 罐 = 1000 g,食材清單.xlsx / 檸檬醬1000g/罐,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0070,檸檬油,罐,g,1000,1 罐 = 1000 g,食材清單.xlsx / 檸檬油1000g/罐,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0071,焦糖醬,罐,g,1000,1 罐 = 1000 g,食材清單.xlsx / 焦糖醬1000g/罐,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0072,焦糖香精,罐,g,1000,1 罐 = 1000 g,食材清單.xlsx / 焦糖香精1000g/罐,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0073,生塔皮（外購）,箱,顆,360,1箱=360顆,使用者補件,草稿,2026-04-01,,,配方明細回填,,,,配方RCP-SF0001投入
原料,RM0074,千層起酥皮（外購）,箱,片,36,1箱=36片,使用者補件,草稿,2026-04-01,,,配方明細回填,,,,配方RCP-SF0003投入
原料,RM0075,土鳳梨酥（外購）,箱,顆,280,1箱=280顆,使用者補件,草稿,2026-04-01,,,配方明細回填,,,,新包裝自2026-04-15生效；配方RCP-SF0004投入
原料,RM0076,鳳凰酥（外購）,箱,顆,280,1箱=280顆,使用者補件,草稿,2026-04-01,,,配方明細回填,,,,新包裝自2026-04-15生效；配方RCP-SF0005投入
